Reg. Date,Property Name,Street,Block,Floor,Flat,Price$(M),Build Size(feet),Actual Size(feet),Price/sq.ft,Building age(year),Type
2019-10-04,麗翠苑,LAI CHI KOK RD,BLK 02,31,3,2.88,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 02,32,10,1.79,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 01,39,12,2.97,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 04,4,13,2.31,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 01,34,18,2.93,,,,,ASSIGN
2019-10-08,富匯居,PEI HO ST,,5,B,4.7,488.0,270.0,9631.0,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 02,13,13,2.88,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 04,19,12,2.38,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 01,14,01,2.8,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 01,23,01,2.87,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 01,17,02,2.41,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 01,15,06,2.46,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 01,19,03,2.87,,,,,ASSIGN
2019-10-08,海柏匯,TUNG CHAU ST,,15,E,5.69,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 04,7,15,2.28,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 03,28,11,1.82,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 01,26,05,1.2,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 01,16,08,1.84,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 01,14,01,2.8,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 01,23,01,2.87,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 01,39,12,2.97,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 04,4,13,2.31,,,,,ASSIGN
2019-10-08,HANG CHEONG FTY BLDG,WING MING ST,,11,B22,1.78,,,,50.0,ASP
2019-10-08,海柏匯,TUNG CHAU ST,,15,E,5.69,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 04,7,15,2.28,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 03,28,11,1.82,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 01,26,05,1.2,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 01,16,08,1.84,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 02,32,10,1.79,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 01,30,06,2.55,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 01,30,06,2.55,,,,,ASSIGN
2019-10-08,HANG CHEONG FTY BLDG,WING MING ST,,11,B22,1.78,,,,50.0,ASP
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 01,9,03,2.77,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 04,37,01,2.87,,,,,ASSIGN
2019-10-08,肇義樓,CHEUNG SHA WAN RD,,8,,4.8,,,,52.0,ASSIGN
2019-10-08,HANG CHEONG FTY BLDG,WING MING ST,,11,B22,1.78,,,,50.0,ASP
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 01,17,02,2.41,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 01,15,06,2.46,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 01,19,03,2.87,,,,,ASSIGN
2019-10-08,富匯居,PEI HO ST,,5,B,4.7,488.0,270.0,9631.0,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 02,13,13,2.88,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 04,19,12,2.38,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 01,14,01,2.8,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 01,30,06,2.55,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 03,11,08,1.75,,,,,ASSIGN
2019-10-08,,APLIU ST,,8,B,4.23,,,,,ASP
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 01,30,06,2.55,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 04,19,12,2.38,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 02,13,13,2.88,,,,,ASSIGN
2019-10-08,富匯居,PEI HO ST,,5,B,4.7,488.0,270.0,9631.0,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 01,19,03,2.87,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 01,15,06,2.46,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 01,17,02,2.41,,,,,ASSIGN
2019-10-08,,FUK WA ST,,6,,3.0,,452.0,,59.0,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 01,27,03,2.94,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 04,26,12,2.43,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 04,15,08,1.81,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 01,17,02,2.41,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 01,15,06,2.46,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 01,19,03,2.87,,,,,ASSIGN
2019-10-08,富匯居,PEI HO ST,,5,B,4.7,488.0,270.0,9631.0,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 02,13,13,2.88,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 04,19,12,2.38,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 01,14,01,2.8,,,,,ASSIGN
2019-10-08,HANG CHEONG FTY BLDG,WING MING ST,,11,B22,1.78,,,,50.0,ASP
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 04,21,8,1.84,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 01,3,6,2.32,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 03,11,08,1.75,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 04,39,11,1.78,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 03,4,12,2.31,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 02,17,2,2.36,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 04,21,12,2.4,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 02,24,6,2.42,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 01,24,2,2.46,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 04,24,3,2.37,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 03,11,08,1.75,,,,,ASSIGN
2019-10-08,海柏匯,TUNG CHAU ST,,15,E,5.69,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 01,21,02,2.44,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 02,8,14,1.09,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 04,25,11,1.75,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 03,11,08,1.75,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 01,34,18,2.93,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 04,7,15,2.28,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 03,28,11,1.82,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 01,26,05,1.2,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 01,16,08,1.84,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 01,23,01,2.87,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 02,32,10,1.79,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 01,39,12,2.97,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 04,4,13,2.31,,,,,ASSIGN
2019-10-08,麗翠苑,LAI CHI KOK RD,BLK 01,34,18,2.93,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 01,32,6,2.56,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 01,29,9,1.84,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 04,38,15,2.47,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 03,9,14,2.22,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 04,39,12,2.46,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 04,13,15,2.33,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 03,8,10,1.72,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 01,16,10,1.77,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 01,24,5,1.19,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 02,14,10,1.71,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 03,3,4,2.16,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 01,34,15,2.47,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 02,8,2,2.29,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 01,2,13,2.61,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 02,7,17,1.68,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 02,1,6,2.03,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 01,29,17,1.83,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 04,23,15,2.4,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 01,7,1,2.71,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 04,21,15,2.39,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 01,13,6,2.45,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 03,10,13,2.27,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 03,7,2,2.19,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 04,12,4,2.32,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 01,23,6,2.52,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 01,37,1,2.97,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 01,11,10,1.74,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 01,12,9,1.76,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 03,5,13,2.22,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 02,23,17,1.78,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 03,7,9,1.69,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 02,19,11,2.48,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 01,36,11,2.54,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 04,15,15,2.34,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 03,10,15,2.23,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 01,32,8,1.91,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 01,28,11,2.51,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 04,9,3,2.26,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 01,3,18,2.65,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 04,9,1.0,2.67,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 01,37,10,1.85,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 03,30,4.0,2.38,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 04,3,13,2.29,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 04,4,2,2.21,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 04,4,14,2.25,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 03,13,6.0,2.81,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 04,19,10,1.77,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 04,25,4,2.4,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 01,37,12,2.99,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 04,18,2,2.33,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 03,13,1,2.61,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 02,36,14,1.18,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 03,26,12,2.49,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 03,32,6,2.95,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 03,29,12,2.51,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 01,25,7,2.99,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 04,29,7,2.55,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 03,31,6,2.95,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 03,31,7,2.51,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 01,34,7,3.04,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 04,33,13,2.54,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 02,14,11,2.45,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 04,27,11,1.76,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 04,16,4,2.34,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 03,9,2,2.2,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 01,33,8.0,1.91,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 03,34,4.0,2.39,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 02,8,12.0,2.81,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 04,13,6.0,2.89,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 04,19,06,2.94,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 03,28,14,2.35,,,,,ASSIGN
2019-10-09,Heya,PO ON RD,BLK 02,36,D,16.23,,,,,ASP
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 04,13,01,2.71,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 03,26,14,2.34,,,,,ASSIGN
2019-10-09,,UN CHAU ST,,6,,2.0,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 02,7,06,2.28,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 03,27,11,1.82,,,,,ASSIGN
2019-10-09,麗翠苑,LAI CHI KOK RD,BLK 03,6,14.0,2.19,,,,,ASSIGN
2019-10-09,MAN HOI MANS,CHEUNG SHA WAN RD,,7,C,4.0,,,,54.0,ASP
2019-10-09,,LAI CHI KOK RD,,6,,1.8,,,,,ASP
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 02,28,8,1.81,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 03,10,11,1.73,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 02,27,17,1.8,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 01,11,17,1.74,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 03,8,9,1.7,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 04,5,14,2.26,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 02,16,6,2.37,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 01,1,18,2.36,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 01,10,8,1.8,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 02,14,7,2.78,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 03,14,11,1.76,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 03,1,12,2.09,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 04,13,8,1.8,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 01,22,17,1.8,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 04,22,16,1.14,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 04,23,11,1.75,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 04,8,12,2.3,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 01,27,17,1.82,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 01,9,17,1.73,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 01,6,9,1.72,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 01,2,8,1.67,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 03,32,13,2.41,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 01,27,11,2.5,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 04,10,11,1.68,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 04,33,9,1.81,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 01,6,9,1.72,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 04,10,11,1.68,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 04,13,8,1.8,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 02,15,15,2.37,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 03,10,10,1.73,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 02,28,8,1.81,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 01,22,17,1.8,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 03,10,11,1.73,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 02,27,17,1.8,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 01,11,17,1.74,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 03,8,9,1.7,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 01,21,10,1.8,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 02,34,10,1.8,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 02,7,9,1.67,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 02,6,18,2.66,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 04,15,7,2.46,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 04,8,2,2.25,,,,,ASP
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 02,20,13,2.94,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 04,15,1,2.73,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 01,30,11,2.52,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 04,17,6,2.92,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 02,34,10,1.8,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 04,7,2,2.24,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 01,21,10,1.8,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 01,10,8,1.8,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 01,2,8,1.67,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 02,13,17,1.73,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 01,19,10,1.79,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 04,23,10,1.79,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 01,14,10,1.76,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 01,5,17,1.7,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 03,4,13,2.21,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 04,36,15,2.46,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 03,5,7,2.3,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 02,33,6,2.46,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 02,36,18,2.89,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 03,30,13,2.4,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 04,31,8,1.88,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 04,17,12,2.37,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 04,2,4,2.15,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 01,24,12,2.92,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 03,1,12,2.09,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 04,33,9,1.81,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 01,5,17,1.7,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 01,9,17,1.73,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 04,36,9,1.82,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 01,10,9,1.75,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 01,8,10,1.72,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 04,22,16,1.14,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 04,23,11,1.75,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 04,8,12,2.3,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 01,27,17,1.82,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 04,21,10,1.78,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 01,9,17,1.73,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 04,33,9,1.81,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 01,6,9,1.72,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 04,10,11,1.68,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 04,13,8,1.8,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 04,22,16,1.14,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 04,38,12,2.48,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 03,18,15,2.29,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 03,10,10,1.73,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 03,18,15,2.29,,,,,ASP
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 04,30,10,1.82,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 01,19,10,1.79,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 04,30,11,1.77,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 04,28,11,1.77,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 02,30,10,1.79,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 01,24,12,2.92,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 04,2,4,2.15,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 04,17,12,2.37,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 04,31,8,1.88,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 02,13,17,1.73,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 03,30,13,2.4,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 02,33,6,2.46,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 03,5,7,2.3,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 04,36,15,2.46,,,,,ASSIGN
2019-10-10,麗翠苑,LAI CHI KOK RD,BLK 03,4,13,2.21,,,,,ASSIGN
