HMA_Lat,HMA_Lng,blg_age,RFT_UPrice,kfold
22.261497,114.234297,36.0,14268,0
22.505312,114.123523,29.0,14583,0
22.288887,114.211224,33.0,16098,0
22.385196,114.18878600000001,33.0,14473,0
22.505312,114.123523,35.0,11111,0
22.287405,114.217806,38.0,20275,0
22.375079,114.176475,24.0,13342,0
22.505312,114.123523,33.0,9551,0
22.411317,114.20303,5.0,14485,0
22.495458,114.13488,25.0,11421,0
22.306935,114.234094,29.0,13028,0
22.315212,114.225184,30.0,7958,0
22.385196,114.18878600000001,35.0,20661,0
22.333282,114.17413,53.0,34444,0
22.326678,114.15206200000002,1.0,25427,0
22.288071,113.946923,15.0,14141,0
22.282695,114.200269,33.0,22051,0
22.303931,114.188613,31.0,17409,0
22.326678,114.15206200000002,2.0,23889,0
22.363456,114.138795,13.0,14059,0
22.443163,114.025459,21.0,11025,0
22.303931,114.188613,30.0,16832,0
22.286277,114.134782,5.0,22295,0
22.288071,113.946923,21.0,11378,0
22.443163,114.025459,37.0,12773,0
22.422714000000006,114.235127,25.0,14050,0
22.326678,114.15206200000002,1.0,21947,0
22.309057,114.186447,5.0,18854,0
22.317588,114.18068600000001,6.0,19981,0
22.308356,114.258804,19.0,10412,0
22.378791,114.10108600000001,40.0,13077,0
22.318048,114.169792,40.0,17181,0
22.321239,114.231841,23.0,8917,0
22.294939000000007,114.26958,6.0,13655,0
22.281215,114.125334,42.0,14554,0
22.324725,114.252646,26.0,15819,0
22.266018,114.135264,39.0,12160,0
22.282909,114.216459,34.0,17414,0
22.416209,113.969819,35.0,9914,0
22.308356,114.258804,17.0,16447,0
22.306935,114.234094,29.0,6325,0
22.303931,114.188613,29.0,15056,0
22.318831,114.158824,15.0,19911,0
22.370941,114.10003400000001,28.0,12012,0
22.444294,114.165867,29.0,15011,0
22.38786,113.962247,21.0,7773,0
22.312451,114.17000300000001,56.0,11167,0
22.336089,114.198736,19.0,13151,0
22.334984,114.157164,35.0,15551,0
22.281215,114.125334,15.0,22682,0
22.375079,114.176475,35.0,18294,0
22.314572,114.26522800000001,29.0,13898,0
22.495458,114.13488,26.0,6478,0
22.333551,114.150051,17.0,16612,0
22.443599,114.037216,26.0,13090,0
22.422714000000006,114.235127,1.0,31495,0
22.274956,114.194672,34.0,22594,0
22.312451,114.17000300000001,16.0,18873,0
22.324725,114.252646,31.0,10485,0
22.270077,114.184586,27.0,22366,0
22.405932999999997,113.961629,29.0,9338,0
22.365632,114.043075,18.0,9873,0
22.324742999999998,114.20922900000001,39.0,13619,0
22.38786,113.962247,30.0,11017,0
22.294939000000007,114.26958,11.0,14239,0
22.44714,114.063281,6.0,13597,0
22.287121,114.190228,27.0,18548,0
22.334984,114.157164,28.0,14286,0
22.370941,114.100034,19.0,13405,0
22.288071,113.946923,4.0,11889,0
22.287405,114.217806,33.0,19706,0
22.282695,114.200269,4.0,26923,0
